n_samples, rrmsd, correlation, time
5000, 0.029400828672251595, 0.8033040053649702, 140.097918510437
5000, 0.02786878309331618, 0.8234285163343965, 139.5872461795807
5000, 0.02820855029862684, 0.8207343242392054, 143.03980708122253
5000, 0.028526901123761994, 0.8138984669784916, 142.2662272453308
5000, 0.028272419651300392, 0.8136399677163544, 141.5663402080536
5000, 0.029425784664493446, 0.8031504589121362, 143.63171815872192
5000, 0.030335407752751165, 0.7948038028866562, 148.56700110435486
5000, 0.029046841022935893, 0.7991872282013076, 146.8049340248108
5000, 0.028595731633061155, 0.8106135359441223, 145.8879292011261
5000, 0.02910739380554052, 0.8121623742739904, 146.0122094154358
5000, 0.027129031145577593, 0.826676280901665, 145.83134031295776
5000, 0.029357163464897834, 0.7919801774350294, 145.033123254776
