,atom,residue,q,q_unconstrained,q_qtot_constrained,q_cg_qtot_constrained,q_sym_qtot_constrained
53,NB1,OXO0,-0.5692684982441272,-0.5573188898974357,-0.5692684982441272,-0.5692684982441272,-0.5692684982441272
54,HB1,OXO0,0.2956080406445281,0.2895891023289409,0.2956080406445281,0.2956080406445281,0.2956080406445281
55,HB2,OXO0,0.20759225481032348,0.2079352781624021,0.20759225481032348,0.20759225481032348,0.20759225481032348
56,CD6,OXO0,-0.2848223558586939,-0.27788022616511693,-0.2848223558586939,-0.2848223558586939,-0.2848223558586939
57,HD4,OXO0,0.1493209725819109,0.14583311838584403,0.1493209725819109,0.1493209725819109,0.1493209725819109
58,CC1,terA,-0.42794073520309067,-0.4276991818993517,-0.42794073520309067,-0.42794073520309067,-0.42794073520309067
59,HC1,terA,0.1962859008663247,0.19587608698272999,0.1962859008663247,0.1962859008663247,0.1962859008663247
60,CC2,terA,0.3840061024334092,0.38675000882315963,0.3840061024334092,0.3840061024334092,0.3840061024334092
61,CC3,terA,-0.23566759863528117,-0.24008704142900789,-0.23566759863528117,-0.23566759863528117,-0.23566759863528117
62,HC2,terA,0.15105455887867125,0.151955917443886,0.15105455887867125,0.15105455887867125,0.15105455887867125
63,CC4,terA,-0.12859162560069035,-0.12409218050454482,-0.12859162560069035,-0.12859162560069035,-0.12859162560069035
64,HC3,terA,0.14266866395158262,0.13950483162981772,0.14266866395158262,0.14266866395158262,0.14266866395158262
65,CC5,terA,-0.1423719929047711,-0.13959496142877614,-0.1423719929047711,-0.1423719929047711,-0.1423719929047711
66,HC4,terA,0.14318783824359319,0.13889547845145783,0.14318783824359319,0.14318783824359319,0.14318783824359319
67,CC6,terA,-0.09038854848790494,-0.08524758174333263,-0.09038854848790494,-0.09038854848790494,-0.09038854848790494
68,HC5,terA,0.13588894838056093,0.13124760138639327,0.13588894838056093,0.13588894838056093,0.13588894838056093
69,CC7,terA,-0.28073830383407494,-0.28426740154985247,-0.28073830383407494,-0.28073830383407494,-0.28073830383407494
70,HC6,terA,0.15794949642273717,0.1587329755365002,0.15794949642273717,0.15794949642273717,0.15794949642273717
71,CD1,terA,-0.17073084415603257,-0.17431073789569898,-0.17073084415603257,-0.17073084415603257,-0.17073084415603257
72,HD1,terA,0.12558997252749143,0.12460885326383934,0.12558997252749143,0.12558997252749143,0.12558997252749143
73,CD2,terA,0.38784555575379037,0.40246362036909356,0.38784555575379037,0.38784555575379037,0.38784555575379037
74,HD2,terA,0.057234652945854544,0.05316342463296677,0.057234652945854544,0.057234652945854544,0.057234652945854544
75,OD1,terA,-0.5420094013574501,-0.5518600522693773,-0.5420094013574501,-0.5420094013574501,-0.5420094013574501
76,CD3,terA,-0.11543472856535514,-0.1265382349209661,-0.11543472856535514,-0.11543472856535514,-0.11543472856535514
77,CD4,terA,-0.017063579891382696,-0.021459014874000454,-0.017063579891382696,-0.017063579891382696,-0.017063579891382696
78,CD5,terA,0.5411898171821886,0.5588604629955694,0.5411898171821886,0.5411898171821886,0.5411898171821886
79,HD3,terA,-0.022543688147449302,-0.026887118260214195,-0.022543688147449302,-0.022543688147449302,-0.022543688147449302
80,CA1,terA,0.673222682269259,0.6773936760356963,0.673222682269259,0.673222682269259,0.673222682269259
81,OA1,terA,-0.5315680491311658,-0.5317364409665246,-0.5315680491311658,-0.5315680491311658,-0.5315680491311658
82,OA2,terA,-0.5940700084366983,-0.5993010765622326,-0.5940700084366983,-0.5940700084366983,-0.5940700084366983
83,CA2,terA,0.43406550144812617,0.4308554480613766,0.43406550144812617,0.43406550144812617,0.43406550144812617
84,CA3,terA,0.21920513413525286,0.22936623882857707,0.21920513413525286,0.21920513413525286,0.21920513413525286
85,NA1,terA,-0.852054831700699,-0.8534974455177798,-0.852054831700699,-0.852054831700699,-0.852054831700699
86,HA1,terA,0.3339752227444593,0.33057206882108314,0.3339752227444593,0.3339752227444593,0.3339752227444593
87,HA2,terA,0.27682067471509336,0.2743677989466321,0.27682067471509336,0.27682067471509336,0.27682067471509336
88,CB1,terA,0.6425404987232556,0.6718359050435024,0.6425404987232556,0.6425404987232556,0.6425404987232556
89,OB1,terA,-0.430408735078619,-0.44091514323853936,-0.430408735078619,-0.430408735078619,-0.430408735078619
90,OB2,terA,-0.44894990451738653,-0.45541109845140315,-0.44894990451738653,-0.44894990451738653,-0.44894990451738653
91,CB2,terA,0.23974510552481348,0.23691994317506582,0.23974510552481348,0.23974510552481348,0.23974510552481348
92,CB3,terA,0.2012138699616408,0.1967285362584917,0.2012138699616408,0.2012138699616408,0.2012138699616408
93,NB1,terA,-0.6409753598281918,-0.6236366781548361,-0.6409753598281918,-0.6409753598281918,-0.6409753598281918
94,HB1,terA,0.23832505364671175,0.23493244846455513,0.23832505364671175,0.23832505364671175,0.23832505364671175
95,HB2,terA,0.2856615330697601,0.2782467732946872,0.2856615330697601,0.2856615330697601,0.2856615330697601
96,CD6,terA,-0.1565166464488191,-0.16379288380669807,-0.1565166464488191,-0.1565166464488191,-0.1565166464488191
97,HD4,terA,0.08551403490604721,0.08935622621039503,0.08551403490604721,0.08551403490604721,0.08551403490604721
